# File created by converting ColoF.sum to a CSV file, using msm-sum-to-csv.py
#----------------------------------------------------------
# # ********************************************************************************
# #
# # *.sum       Mixed Station Summary Information
# #
# #  Filename:  ColoF.sum
# #
# #  **** = 95% Confidence Interval Not Met
# #
# # ********************************************************************************
# # File History:
# # ********************************************************************************
# #
# # *.xbf       Filled Base Flow at Stream Gages - Mixed Station Model
# #
# #  Mixed Station Model Version:  PC (89/07/18) (Modified 6/8/99)
# #  Run Date and Time:  9/13/99 16:21:15
# #  Filename:  ColoF-1.xbf
# #  Regression:  Simple Linear Regression (Log Transform)
# #  Method:  SEP Dependent
# #  Independent Stations:  All
# #  First Year of Extended Record:  1909
# #  Min. No. of Concurrent Values Required:  5
# #  Confidence Interval:  95%
# #
# # ********************************************************************************
# #
# # 
# # ********************************************************************************
# # *.xbg       Base Flow at Stream Gages                        
# #
# #  UPPER COLORADO RIVER BASIN                                                     
# #  Historic Diversions made at respective historic diversion location             
# #
# #  Statemod Version:  8.24 (1999/07/19)
# #  Run date and time:    9/ 1/99  8: 5:50
# # 
# # ********************************************************************************
# # ********************************************************************************
# #
# # Individual Gage Mixed Station Summary Information:
# 
#   Basin Key:
#   K - KeyGages
#   C - ColoF
# 
# 
# The original ****, which indicates not passing the T test, is replaced with blanks below
#--------------------------------------------------------------------------------------
#Dependent,IndepStation,Basin,ConcurrentValues,R_Jan,R_Feb,R_Mar,R_Apr,R_May,R_Jun,R_Jul,R_Aug,R_Sep,R_Oct,R_Nov,R_Dec,R
"TSID","TSID-Independent","Basin","N1","R_1","R_2","R_3","R_4","R_5","R_6","R_7","R_8","R_9","R_10","R_11","R_12","R"
09010500,09011000,C,400,0.80,0.79,0.78,0.97,0.90,0.94,0.98,0.95,0.97,0.97,0.95,0.85,0.99
09010500,09019500,C,185,,,,,0.89,0.40,0.95,0.90,0.83,,,,0.94
09010500,09024000,C,520,0.44,0.39,0.63,0.83,0.91,0.84,0.93,0.80,0.58,0.78,0.67,0.52,0.97
09010500,09032500,C,88,0.76,0.89,0.88,0.81,0.77,0.93,0.99,0.96,0.87,0.84,,,0.95
09010500,09034500,C,495,0.37,0.41,0.56,0.78,0.81,0.84,0.96,0.92,0.84,0.88,0.83,0.48,0.95
09010500,09037500,C,520,0.45,0.45,0.46,0.81,0.82,0.83,0.87,0.72,0.50,0.79,0.75,0.60,0.97
09010500,09047000,C,95,,,,0.86,0.90,0.94,0.96,0.88,,0.88,,,0.96
09010500,09058000,C,408,0.57,0.36,0.50,0.75,0.77,0.88,0.96,0.84,0.75,0.91,0.83,0.67,0.95
09010500,09063000,C,520,0.52,0.52,0.54,0.82,0.81,0.82,0.92,0.82,0.48,0.79,0.69,0.64,0.94
09010500,09069500,C,112,,,0.72,,0.97,0.90,0.75,0.93,0.75,,,,0.87
09010500,09072500,C,160,,,0.66,0.82,0.67,0.90,0.94,0.91,0.91,0.91,0.62,0.56,0.94
09010500,09085000,C,520,0.66,0.60,0.66,0.57,0.73,0.81,0.92,0.80,0.63,0.77,0.64,0.65,0.97
09010500,09087500,C,72,0.88,0.85,,,0.85,,0.92,0.90,,,,,0.94
09010500,09112500,K,520,0.60,0.57,0.75,0.84,0.63,0.78,0.91,0.74,0.52,0.78,0.62,0.72,0.94
09010500,09239500,K,520,0.49,0.51,0.67,0.43,0.60,0.81,0.91,0.73,0.63,0.83,0.72,0.59,0.79
09010500,09251000,K,520,0.68,0.46,0.62,0.41,0.36,0.83,0.94,0.75,0.58,0.86,0.78,0.71,0.71
09010500,09340500,K,520,0.41,0.43,0.53,0.57,0.50,0.79,0.86,0.73,0.44,0.59,0.49,0.49,0.78
09011000,09010500,C,400,0.80,0.79,0.78,0.97,0.90,0.94,0.98,0.95,0.97,0.97,0.95,0.85,0.99
09011000,09019500,C,380,,,,0.60,0.84,0.50,0.94,0.42,0.45,,,,0.79
09011000,09034250,C,60,,,,0.95,1.00,0.89,0.96,,1.00,0.96,,0.95,0.98
09011000,09034500,C,731,,,,0.78,0.86,0.88,0.95,0.62,0.57,0.57,0.28,,0.92
09011000,09035500,C,348,0.52,0.56,0.42,0.67,0.73,0.90,0.91,0.80,0.69,0.61,0.47,,0.95
09011000,09037500,C,744,0.57,0.63,0.73,0.86,0.76,0.84,0.91,0.69,0.65,0.71,0.75,0.71,0.97
09011000,09037500,K,744,0.57,0.64,0.72,0.81,0.71,0.82,0.92,0.64,0.66,0.72,0.74,0.71,0.92
09011000,09058000,C,396,0.50,,0.60,0.81,0.84,0.88,0.93,0.86,0.86,0.89,0.78,0.45,0.97
09011000,09063000,C,600,0.53,0.61,0.55,0.84,0.88,0.84,0.91,0.80,0.66,0.70,0.61,0.61,0.95
09011000,09065500,C,384,0.44,0.40,0.71,0.90,0.67,0.78,0.92,0.84,0.78,0.79,0.72,0.66,0.98
09011000,09072500,C,504,0.34,0.39,0.53,0.84,0.83,0.92,0.92,0.77,0.76,0.74,0.46,0.36,0.95
09011000,09078600,C,132,0.79,0.76,0.92,0.84,0.76,0.86,0.95,0.88,0.86,0.96,0.92,0.96,0.98
09011000,09085000,C,740,0.60,0.55,0.74,0.72,0.81,0.88,0.89,0.78,0.63,0.70,0.62,0.61,0.97
09011000,09087500,C,72,,,,,,,0.95,0.91,,,,0.88,0.95
09011000,09093500,C,167,,,0.56,,,0.59,0.59,,,,,,0.48
09011000,09097500,C,535,0.59,0.47,0.47,0.48,0.30,0.68,0.70,,,0.55,0.36,0.46,0.56
09011000,09112500,K,720,0.43,0.44,0.62,0.91,0.76,0.81,0.85,0.56,0.50,0.78,0.57,0.59,0.95
09011000,09166500,K,660,0.57,0.40,0.61,0.50,0.45,0.65,0.68,0.57,0.30,0.58,0.56,0.61,0.85
09011000,09251000,K,665,0.74,0.47,0.64,0.61,0.62,0.84,0.85,0.78,0.68,0.86,0.79,0.73,0.78
09019500,09010500,C,185,,,,,0.89,0.40,0.95,0.90,0.83,,,,0.94
09019500,09024000,C,418,,,,0.72,0.80,0.52,0.88,0.67,0.52,,,,0.79
09019500,09032500,C,226,,,,,0.92,0.94,0.81,,,,,,0.67
09019500,09034250,C,76,,,,,,,,,,,,,0.99
09019500,09034500,C,420,0.98,0.98,0.96,0.82,0.90,0.80,0.99,0.96,0.95,0.78,0.92,0.92,0.95
09019500,09041000,C,142,,-.98,,0.89,0.64,,0.60,,,,,,0.73
09019500,09058000,C,201,,,,,0.87,0.62,0.96,0.93,0.85,,,,0.97
09019500,09063000,C,293,,,,,0.69,0.47,0.85,0.81,0.51,,,,0.86
09019500,09065100,C,161,,,,,0.90,0.88,0.93,0.85,0.71,,,,0.96
09019500,09065500,C,236,,,,0.81,0.72,0.37,0.88,0.85,0.68,,,,0.94
09019500,09072500,C,291,,,,0.61,0.77,0.89,0.91,0.51,0.50,,,,0.79
09019500,09078600,C,101,,,,,,,,,,,,,0.97
09019500,09093500,C,97,,,,0.95,,0.60,0.60,,,,,,0.48
09021000,09024000,C,486,,,,0.51,0.64,0.82,0.92,0.52,0.53,0.50,0.58,,0.82
09021000,09026500,C,486,0.41,,,0.40,0.60,0.74,0.89,0.59,0.43,0.50,,0.64,0.79
09021000,09032500,C,73,,,,,0.97,0.85,0.92,,,,,,0.86
09021000,09034500,C,465,0.67,0.57,0.62,0.82,0.90,0.87,0.93,0.66,0.69,0.48,0.71,0.70,0.92
09021000,09034500,K,466,0.63,,0.68,0.57,0.88,0.78,0.83,0.57,0.54,0.50,,0.64,0.89
09021000,09035500,C,356,0.44,,0.39,0.46,0.42,0.67,0.90,0.69,,0.41,0.41,,0.81
09021000,09036000,C,486,0.52,,0.56,0.61,0.62,0.81,0.91,0.59,0.46,0.60,0.35,0.48,0.83
09021000,09037500,C,486,0.33,,0.40,0.60,0.77,0.86,0.87,0.45,0.37,0.58,0.46,0.44,0.86
09021000,09040000,C,337,0.39,,0.42,0.78,0.91,0.93,0.83,0.68,0.68,0.42,0.53,,0.91
09021000,09041000,C,203,,,,0.54,0.78,0.77,0.88,0.47,0.71,0.46,0.63,0.65,0.86
09021000,09047000,C,79,,,,0.71,0.86,0.86,0.91,,,,,,0.77
09021000,09054000,C,326,,,,0.63,0.44,0.70,0.92,0.50,0.54,,0.38,0.54,0.80
09021000,09058000,C,392,0.63,,0.55,0.58,0.92,0.92,0.94,0.64,0.52,0.64,0.50,0.67,0.92
09021000,09063000,C,486,0.40,,0.32,0.61,0.83,0.91,0.88,0.54,0.58,0.52,0.34,0.48,0.91
09021000,09064000,C,269,,,,,0.46,0.86,0.89,0.80,,,0.44,,0.83
09021000,09065500,C,412,,,0.41,0.61,0.46,0.76,0.87,0.46,0.58,,0.48,0.36,0.87
09021000,09070500,C,486,0.34,0.40,0.57,0.61,0.93,0.92,0.94,0.60,0.63,0.48,,0.41,0.91
09021000,09072500,C,140,,,,0.78,0.93,0.94,0.91,,0.69,,,,0.86
09021000,09074000,C,345,0.37,,0.39,0.45,0.49,0.73,0.83,0.48,0.58,0.52,0.68,,0.89
09021000,09087500,C,62,,,,0.88,,,0.87,,,,,,0.85
09021000,09095500,C,486,0.44,,0.50,0.61,0.91,0.92,0.93,0.59,0.64,0.50,0.39,,0.90
09021000,09239500,K,486,0.54,,0.40,0.51,0.86,0.87,0.88,0.66,0.65,0.52,0.54,0.44,0.90
09021000,09251000,K,486,0.48,,0.47,0.53,0.82,0.90,0.88,0.65,0.72,0.51,0.52,,0.86
09021000,09340500,K,486,0.42,,0.64,0.49,0.82,0.88,0.83,0.63,0.59,0.37,0.37,,0.87
09024000,09011000,C,732,0.32,0.26,0.25,0.71,0.76,0.82,0.92,0.78,0.64,0.71,0.58,0.36,0.96
09024000,09034000,C,219,,,0.59,0.57,0.75,0.96,0.96,0.94,0.92,0.81,0.69,0.54,0.95
09024000,09037500,C,924,,,,0.63,0.83,0.89,0.89,0.80,0.71,0.72,0.60,0.31,0.97
09024000,09037500,K,924,,,,0.58,0.73,0.89,0.90,0.75,0.67,0.68,0.58,0.27,0.89
09024000,09058000,C,504,0.45,0.35,0.33,0.56,0.77,0.86,0.94,0.87,0.78,0.80,0.69,0.46,0.94
09024000,09072500,C,672,0.27,,0.38,0.58,0.73,0.90,0.93,0.84,0.76,0.71,0.48,0.40,0.93
09024000,09239500,K,602,0.54,,0.41,0.47,0.59,0.76,0.82,0.68,0.68,0.52,0.54,0.44,0.73
09025000,09011000,C,626,0.44,0.29,0.38,0.67,0.80,0.82,0.90,0.79,0.60,0.75,0.56,0.53,0.94
09025000,09024000,C,746,0.31,0.27,0.37,0.68,0.93,0.89,0.93,0.86,0.75,0.64,0.56,0.41,0.97
09025000,09034000,C,219,,,,0.66,0.74,0.95,0.96,0.95,0.92,0.92,0.56,,0.93
09025000,09035500,C,458,,,,0.63,0.92,0.73,0.91,0.83,0.65,0.58,0.33,,0.96
09025000,09036000,C,620,,,,0.78,0.91,0.87,0.93,0.59,0.46,0.80,0.55,0.42,0.97
09025000,09037500,C,746,,,,0.73,0.84,0.82,0.86,0.72,0.71,0.64,0.47,0.30,0.95
09025000,09047000,C,321,,,,0.76,0.88,0.85,0.88,0.87,0.69,0.77,0.54,,0.97
09025000,09058000,C,408,0.35,,,0.70,0.74,0.79,0.91,0.87,0.74,0.79,0.84,0.66,0.92
09025000,09063000,C,624,,,-.28,0.53,0.78,0.76,0.91,0.84,0.80,0.77,0.49,,0.90
09025000,09072500,C,386,,,,0.65,0.88,0.91,0.94,0.92,0.80,0.84,0.56,,0.92
